model,components,quantile,completed_seeds,seed_values,macro_average_precision_mean,macro_average_precision_sample_std,auroc_mean,auroc_sample_std,point_f1_mean,point_f1_sample_std,overlap_event_f1_mean,overlap_event_f1_sample_std,duration_precision_mean,duration_precision_sample_std,duration_recall_mean,duration_recall_sample_std,duration_f1_mean,duration_f1_sample_std,event_recall_10pct_mean,event_recall_10pct_sample_std,event_recall_50pct_mean,event_recall_50pct_sample_std,false_alarm_events_per_normal_hour_mean,false_alarm_events_per_normal_hour_sample_std,median_detection_delay_seconds_mean,median_detection_delay_seconds_sample_std
full,representation+reconstruction+prediction,0.99,3,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.1723248954841083,0.1174327046264352,0.0112069098607738,0.0018010106273293,0.0998462304031393,0.0764925237573676,0.8744830669498156,0.0342683678055918,0.1723248954841083,0.1174327046264352,0.9733333333333332,0.0115470053837925,0.9133333333333334,0.0305505046330389,81.1970756046409,12.55497616264887,3.333333333333333,3.511884584284246
full,representation+reconstruction+prediction,0.9925,3,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.1970767635693382,0.1481403178880234,0.0127148822163734,0.0010813480939664,0.1186196222903964,0.1019150573929612,0.8598040311463806,0.0331985577200618,0.1970767635693382,0.1481403178880234,0.9733333333333332,0.0115470053837925,0.9,0.0399999999999999,70.62277185588,6.412831269411932,3.333333333333333,3.511884584284246
full,representation+reconstruction+prediction,0.995,3,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.2397172922689588,0.2025065100844712,0.0166969823021406,0.0042304371217005,0.1555157156973109,0.1542827959805352,0.8370030922841921,0.0250463855679954,0.2397172922689588,0.2025065100844712,0.9666666666666668,0.0115470053837925,0.88,0.02,55.61753515976383,13.7309561825744,4.666666666666667,3.8837267325770144
full,representation+reconstruction+prediction,0.9975,3,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.3063207219741235,0.2746702487646983,0.0385994556932525,0.0388837457054627,0.2280777987617255,0.2534725536050631,0.7905443165306806,0.014133846627789,0.3063207219741235,0.2746702487646983,0.9533333333333333,0.0305505046330389,0.8666666666666667,0.0115470053837925,39.545082729605554,26.28920289454667,7.833333333333333,2.362907813126304
full,representation+reconstruction+prediction,0.999,3,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.3785063721645083,0.2667133464829082,0.1092914854311465,0.1491103322155665,0.3186897804370885,0.3177908356358631,0.6912931708952721,0.0090719230525105,0.3785063721645083,0.2667133464829082,0.9533333333333333,0.0305505046330389,0.7933333333333333,0.0115470053837925,27.270572825751803,24.089350002340083,16.0,2.7838821814150108
