model,seeds,macro_ap_mean,macro_ap_sd,auroc_mean,auroc_sd,point_f1_mean,point_f1_sd,event_recall_10_mean,event_recall_10_sd,event_recall_50_mean,event_recall_50_sd,false_alarms_per_hour_mean,false_alarms_per_hour_sd,macro_ap_seed_values
Persistence,deterministic,0.0485591742177875,nan,0.6621991744998245,nan,0.0135804734813727,nan,0.0,nan,0.0,nan,10.614056770372786,nan,0.0486
Isolation Forest,"17,42,2026",0.4541648007276433,0.0235050064232733,0.8590023873256948,0.0041452439787374,0.5156281479729903,0.0182518877733566,0.6266666666666666,0.0115470053837925,0.5133333333333333,0.0115470053837925,3.051808889896872,0.3923688044546731,0.4635/0.4274/0.4716
TCN autoencoder,"17,42,2026",0.7328027644624465,0.0181310142444323,0.911102336228288,0.011043530144962,0.5634363275607762,0.0562965201732114,0.96,0.0,0.8133333333333334,0.0115470053837924,36.56360610871432,9.009269055936803,0.7397/0.7122/0.7465
TCN predictor,"17,42,2026",0.6604918967478448,0.0102035220427987,0.8880631264208617,0.0020256970612852,0.6423020546440658,0.0084653767575737,0.9266666666666666,0.0115470053837924,0.6999999999999998,0.0199999999999999,13.919673413637836,0.4790022175038718,0.6502/0.6706/0.6607
Contrastive-only TCN,"17,42,2026",0.0296953386489395,0.0133681605358661,0.5077346123505055,0.0828306674860642,0.0058830795478248,0.0020619345034642,0.02,0.02,0.0,0.0,0.8837402496795549,0.5536532981684128,0.0451/0.0232/0.0209
Full three-objective model,"17,42,2026",0.6036605499707469,0.1189705320212792,0.8983922354209327,0.0230869769697944,0.2397172922689588,0.2025065100844712,0.9666666666666668,0.0115470053837925,0.88,0.02,55.61753515976383,13.7309561825744,0.5645/0.5092/0.7373
